행정구역,연도,교육기관수
강원특별자치도,2020,5
강원특별자치도,2021,5
강원특별자치도,2022,5
경기도,2020,5
경기도,2021,6
경기도,2022,6
경상남도,2020,1
경상남도,2021,1
경상남도,2022,1
경상북도,2020,9
경상북도,2021,9
경상북도,2022,9
광주광역시,2020,2
광주광역시,2021,1
광주광역시,2022,1
대구광역시,2020,2
대구광역시,2021,1
대구광역시,2022,1
대전광역시,2021,2
대전광역시,2022,2
부산광역시,2020,1
부산광역시,2021,1
부산광역시,2022,1
서울특별시,2020,10
서울특별시,2021,10
서울특별시,2022,10
세종특별자치시,2020,1
세종특별자치시,2021,1
세종특별자치시,2022,1
울산광역시,2020,1
울산광역시,2021,1
울산광역시,2022,1
인천광역시,2020,1
인천광역시,2021,1
인천광역시,2022,1
전라남도,2020,1
전라남도,2021,1
전라남도,2022,1
전라북도,2020,1
전라북도,2021,1
전라북도,2022,1
제주특별자치도,2020,2
제주특별자치도,2021,2
제주특별자치도,2022,2
충청남도,2020,4
충청남도,2021,4
충청남도,2022,4
충청북도,2020,3
충청북도,2021,2
충청북도,2022,2
