행정구역,연도,어린이집수,초등학교수
강원특별자치도,2020,366,347
강원특별자치도,2021,363,348
강원특별자치도,2022,359,349
경기도,2020,2206,1298
경기도,2021,2209,1317
경기도,2022,2175,1320
경상남도,2020,686,505
경상남도,2021,683,509
경상남도,2022,683,510
경상북도,2020,701,473
경상북도,2021,696,473
경상북도,2022,682,473
광주광역시,2020,298,155
광주광역시,2021,294,155
광주광역시,2022,288,155
대구광역시,2020,346,230
대구광역시,2021,342,232
대구광역시,2022,329,233
대전광역시,2020,256,148
대전광역시,2021,253,148
대전광역시,2022,255,149
부산광역시,2020,403,304
부산광역시,2021,397,304
부산광역시,2022,394,304
서울특별시,2020,795,607
서울특별시,2021,787,607
서울특별시,2022,788,609
세종특별자치시,2020,61,49
세종특별자치시,2021,62,51
세종특별자치시,2022,64,52
울산광역시,2020,198,120
울산광역시,2021,196,121
울산광역시,2022,191,121
인천광역시,2020,404,253
인천광역시,2021,399,258
인천광역시,2022,396,260
전국,2020,8705,6120
전국,2021,8660,6157
전국,2022,8562,6163
전라남도,2020,530,429
전라남도,2021,524,430
전라남도,2022,516,426
전북특별자치도,2020,507,421
전북특별자치도,2021,507,420
전북특별자치도,2022,501,421
제주특별자치도,2020,123,113
제주특별자치도,2021,123,113
제주특별자치도,2022,119,114
충청남도,2020,499,410
충청남도,2021,498,412
충청남도,2022,498,411
충청북도,2020,326,258
충청북도,2021,327,259
충청북도,2022,324,256
