,행정구역,연도,영유아_인구수,아동_인구수,가구수,인구수
0,강원특별자치도,2020,56583,87444,661039,1452695
1,강원특별자치도,2021,53153,86449,674728,1452031
2,강원특별자치도,2022,50371,85035,684895,1449402
3,경기도,2020,615708,925787,5098431,12693481
4,경기도,2021,572784,927378,5290662,12872435
5,경기도,2022,533496,920992,5406963,12907376
6,경상남도,2020,140064,225100,1350155,3148113
7,경상남도,2021,124927,222916,1378982,3136673
8,경상남도,2022,111035,218795,1392608,3106225
9,경상북도,2020,101387,153184,1131819,2483041
10,경상북도,2021,91859,152362,1156645,2477239
11,경상북도,2022,82877,149831,1166306,2454688
12,광주광역시,2020,62164,101778,599217,1409978
13,광주광역시,2021,57894,100247,615693,1409089
14,광주광역시,2022,53473,98524,623252,1399149
15,대구광역시,2020,94343,146731,985816,2321163
16,대구광역시,2021,85308,145487,1000931,2301255
17,대구광역시,2022,77883,145215,1010834,2279121
18,대전광역시,2020,60634,95030,631208,1424823
19,대전광역시,2021,55312,93066,640085,1412576
20,대전광역시,2022,52168,91530,646474,1400687
21,부산광역시,2020,123962,186664,1405037,3213816
22,부산광역시,2021,112344,186848,1431365,3197368
23,부산광역시,2022,102950,186695,1447825,3166827
24,서울특별시,2020,339289,503249,3982290,9098805
25,서울특별시,2021,307525,490846,4046799,9009126
26,서울특별시,2022,282707,481692,4098818,8942201
27,세종특별자치시,2020,26208,36199,139106,340173
28,세종특별자치시,2021,25207,37703,145295,353038
29,세종특별자치시,2022,23853,39162,154019,367161
30,울산광역시,2020,52566,79549,444087,1082992
31,울산광역시,2021,46869,78798,451432,1072873
32,울산광역시,2022,41857,77922,453998,1059852
33,인천광역시,2020,122051,186569,1147200,2798349
34,인천광역시,2021,112522,186143,1183610,2813245
35,인천광역시,2022,106904,186159,1212731,2831166
36,전라남도,2020,70300,109504,761518,1685958
37,전라남도,2021,63771,108193,777358,1681752
38,전라남도,2022,58305,106201,784645,1670748
39,제주특별자치도,2020,31618,49937,263068,632545
40,제주특별자치도,2021,29363,50496,271162,637155
41,제주특별자치도,2022,27196,50343,276225,638690
42,충청남도,2020,92278,140840,892222,2016582
43,충청남도,2021,84101,139725,915634,2020843
44,충청남도,2022,77210,138235,931370,2019123
45,충청북도,2020,66339,100538,678922,1525090
46,충청북도,2021,61100,99691,695611,1524574
47,충청북도,2022,55804,98473,704864,1519123
